word_i_word_j,distance_i_j
сообразительный_интеллектуальный,8.31
тяжелый_трудный,8.62
счастливый_радостный,8.46
тяжелый_легкий,0.00
быстрый_скоростной,9.15
счастливый_довольный,8.08
короткий_длинный,0.00
глупый_тупой,8.23
чудной_странный,8.54
широкий_узкий,0.00
плохой_ужасный,8.62
легкий_трудный,0.00
сообразительный_тупой,0.00
безумный_сумасшедший,9.31
счастливый_рассерженный,0.00
большой_огромный,9.15
твердый_прочный,7.77
новый_свежий,7.77
острый_тупой,0.00
скорый_скоростной,9.15
тупой_дурацкий,7.54
прекрасный_потрясающий,8.46
странный_необычный,8.92
счастливый_злой,0.00
узкий_широкий,0.00
простой_легкий,7.00
старый_свежий,0.00
кажущийся_очевидный,2.92
недорогой_дешевый,9.46
приятный_великодушный,3.54
ненормальный_нормальный,0.00
ненормальный_необычный,5.92
плохой_безнравственный,5.85
печальный_смешной,0.00
прекрасный_великолепный,9.38
виноватый_пристыженный,7.62
красивый_прекрасный,9.38
самоуверенный_уверенный,7.38
тупой_глупый,8.85
крупный_большой,9.46
милый_жестокий,0.00
нетерпеливый_беспокойный,7.77
большой_широкий,3.31
сильный_гордый,3.23
ненужный_необходимый,0.00
неугомонный_молодой,1.85
тупой_интеллектуальный,0.00
плохой_великолепный,0.00
трудный_простой,0.00
необходимый_важный,7.38
плохой_потрясающий,0.00
рассерженный_довольный,0.00
честный_виноватый,0.00
покладистый_гибкий,4.00
убежденный_бесспорный,5.92
неотъемлемый_необходимый,8.15
необычный_обычный,0.00
хитрый_умный,3.38
решающий_важный,7.08
жесткий_жестокий,3.77
ребячливый_безрассудный,5.08
скудный_редкий,4.85
дружелюбный_великодушный,4.46
ранимый_бесстрастный,0.15
длинный_узкий,1.00
большой_тяжелый,2.92
грубый_равнодушный,2.85
эксцентричный_странный,6.31
нелегальный_безнравственный,1.62
плохой_виноватый,1.62
современный_старинный,0.00
новый_старый,0.00
скучный_смешной,0.00
счастливый_молодой,0.46
легкий_большой,0.00
прекрасный_ужасный,0.00
крошечный_огромный,0.00
вежливый_приличный,5.38
скромный_пристыженный,1.62
экзотичный_редкий,7.46
тупой_умный,0.00
восхитительный_прекрасный,9.08
заметный_очевидный,6.77
испуганный_встревоженный,7.77
официальный_приличный,2.31
тоскливый_скучный,8.62
восхитительный_радостный,5.23
несчастный_рассерженный,0.92
печальный_ужасный,2.31
больной_сумасшедший,4.62
яростный_злой,7.46
груженный_тяжелый,6.38
грязный_дешевый,0.77
эластичный_гибкий,7.92
твердый_плотный,6.31
недавний_новый,6.77
дерзкий_гордый,0.85
скрытный_странный,3.15
странный_скрытный,2.69
немой_редкий,0.00
ловкий_выносливый,3.92
ужасный_рассерженный,2.38
скромный_покладистый,2.46
свежий_широкий,0.00
огромный_тупой,0.00
крупный_гибкий,0.00
грязный_узкий,0.00
жена_муж,0.00
книга_текст,5.31
жених_невеста,0.00
ночь_день,0.00
юг_север,0.00
самолет_аэропорт,1.31
дядя_тетя,0.00
лошадь_кобыла,10.00
низ_верх,0.00
друг_приятель,9.31
учащийся_ученик,9.85
мир_Земля,5.85
нога_рука,0.00
самолет_джет,5.69
женщина_мужчина,0.00
конь_жеребенок,6.23
актриса_актер,3.69
учитель_преподаватель,9.92
фильм_кинолента,9.92
птица_ястреб,5.23
слово_словарь,2.77
деньги_зарплата,7.54
собака_кошка,0.00
область_регион,9.08
флот_армия,4.38
книга_литература,6.00
одежда_шкаф,0.92
закат_рассвет,0.00
ребенок_взрослый,0.00
корова_скот,8.08
книга_история,1.38
зима_лето,0.00
такси_таксомотор,6.38
дерево_клен,5.23
кровать_спальня,2.46
крыша_потолок,2.77
рука_плечо,2.00
овца_ягненок,6.15
госпожа_господин,4.38
лодка_якорь,2.00
священник_монах,7.38
палец_палец,9.92
река_поток,6.23
злость_ярость,8.85
дата_календарь,4.46
море_океан,5.77
секунда_минута,2.69
кисть_палец,3.23
дерево_бревно,5.92
слякоть_грязь,7.85
привычка_манера,8.15
мышка_кошка,1.54
полицейский_шериф,8.54
смерть_погребение,5.31
музыка_мелодия,8.77
пиво_алкоголь,6.31
рот_губа,4.31
буря_ураган,8.54
налог_доход,2.23
цветок_фиалка,6.31
бумага_картон,6.62
пол_потолок,1.31
пляж_побережье,6.62
карниз_занавеска,2.31
гончая_лиса,0.62
улица_переулок,5.69
судно_палуба,3.08
автомобиль_гудок,1.85
друг_гость,2.46
работодатель_работник,2.08
кисть_запястье,5.23
ядро_пушка,2.77
алкоголь_бренди,6.77
победа_триумф,9.62
телефон_будка,2.62
дверь_проем,4.92
мотель_гостиница,9.31
одежда_ткань,4.00
стейк_мясо,6.54
ноготь_палец,3.31
группа_оркестр,4.77
книга_Библия,5.23
предприятие_промышленность,5.23
зима_сезон,3.92
десятилетие_век,2.08
алкоголь_джин,6.38
шляпа_пальто,1.23
окно_дверь,0.15
рука_запястье,2.54
дом_квартира,6.92
стекло_хрусталь,5.69
вино_бренди,4.62
создатель_изготовитель,9.46
ужин_завтрак,0.31
рука_мускул,1.54
пузырь_пена,3.23
хлеб_мука,5.15
смерть_трагедия,4.77
отсутствие_пристуствие,0.08
ружье_пушка,3.38
трава_травинка,8.31
мяч_корзина,0.77
шланг_сад,0.77
мальчик_ребенок,5.62
церковь_хор,1.46
одежда_ящик,0.31
башня_колокол,1.08
отец_родитель,9.46
школа_класс,3.69
родитель_взрослый,3.54
пруток_тюрьма,0.08
автомобиль_автострада,1.23
словарь_толкование,5.69
дверь_подвал,0.38
армия_легион,6.85
металл_алюминий,4.62
стул_скамейка,3.00
облако_туман,3.77
мальчик_сын,3.62
вода_лед,2.00
постель_одеяло,3.38
представитель_адвокат,6.15
область_зона,8.08
предприятие_компания,9.23
свитер_пиджак,1.54
деньги_капитал,8.08
кисть_ступня,0.00
алкоголь_коктейль,5.31
ярд_дюйм,2.62
молекула_атом,3.85
линза_фотоаппарат,1.77
трапеза_ужин,8.15
глаз_слеза,1.77
Бог_дьявол,0.08
петля_пояс,0.85
крыса_мышь,3.46
мотор_двигатель,8.92
автомобиль_такси,4.15
кот_лев,1.15
размер_величина,8.15
реальность_фантазия,0.23
дверь_ворота,3.15
кот_питомец,4.46
олово_алюминий,2.54
кость_челюсть,2.08
злак_пшеница,6.62
дом_ключ,0.62
кровь_плоть,1.23
дверь_коридор,0.69
Бог_дух,4.08
способность_компетенция,2.31
изобилие_множество,8.69
диван_стул,1.23
стена_кирпич,1.92
рожок_барабан,0.62
орган_печень,3.15
сила_мощь,7.77
фраза_слово,2.00
оркестр_парад,1.54
желудок_талия,0.00
туча_буря,2.38
радость_гордость,1.77
шум_грохот,7.62
дождь_изморось,7.31
пиво_напиток,4.00
мужчина_дядя,4.38
яблоко_сок,1.38
интеллект_логика,4.31
общение_язык,3.85
норка_мех,1.54
орава_толпа,7.15
берег_побережье,7.62
провод_шнур,7.92
птица_индейка,4.08
кровать_кроватка,9.00
компетенция_способность,2.54
облако_дымка,3.38
ужин_трапеза,7.23
пруток_клетка,0.08
вода_соль,0.00
чувство_интуиция,6.85
ситуация_состояние,2.62
преступление_кража,5.00
стиль_мода,7.62
рубеж_граница,9.77
рука_тело,1.15
судно_автомобиль,0.85
бутерброд_обед,2.15
невеста_принцесса,1.46
героиня_герой,6.54
автомобиль_датчик,1.62
насекомое_пчела,6.46
кроватка_колыбель,7.69
животное_человек,2.54
марихуана_трава,5.85
койка_больница,2.38
щека_язык,2.69
диск_компьютер,2.54
изгиб_угол,4.69
трава_мох,5.00
факультет_юриспруденция,1.92
ступня_голова,1.38
мать_опекунша,3.85
ортодонт_дантист,6.85
алкоголь_виски,6.31
рот_зуб,3.15
завтрак_бекон,2.38
ванная_спальня,1.08
тарелка_миска,8.31
мясо_бекон,6.00
воздух_гелий,1.85
работник_работодатель,1.77
тело_грудь,3.62
сын_отец,1.46
сердце_операция,1.00
женщина_секретарь,1.54
мужчина_отец,5.08
пляж_остров,4.46
история_тема,1.85
игра_веселье,5.23
выходной_неделя,2.92
чета_пара,8.08
женщина_жена,4.62
овца_скот,6.08
сумочка_сумка,9.38
потолок_собор,0.08
боб_кофе,2.77
дерево_бумага,2.85
верх_бок,1.46
преступление_мошенничество,5.69
боль_вред,2.15
возлюбленный_спутник,4.46
вечер_сумерки,7.23
отец_дочь,1.92
вино_спиртное,6.46
корова_коза,2.15
верование_мнение,1.31
реальность_иллюзия,0.15
пакт_соглашение,8.54
богатство_бедность,0.23
происшествие_авария,4.92
битва_завоевание,4.08
друг_наставник,3.00
болезнь_инфекция,6.69
игра_сноровка,0.54
брат_сын,0.92
тетя_племянник,1.38
работник_механик,2.54
врач_ортодонт,3.85
дуб_клен,2.92
пчела_матка,2.77
автомобиль_велосипед,1.38
цель_поиск,0.62
август_месяц,2.85
армия_отряд,3.77
облако_погода,2.46
терапевт_врач,5.23
ущелье_долина,2.85
река_долина,0.23
солнце_небо,1.69
мишень_стрела,1.08
шоколад_пирог,1.77
обстоятельство_ситуация,5.92
мнение_выбор,1.77
ритм_мелодия,5.00
мужество_хладнокровие,2.54
день_рассвет,1.54
скот_бык,5.23
доктор_профессор,4.46
рука_вена,1.08
комната_ванна,0.85
корпорация_предприятие,8.31
развлечение_футбол,1.69
холм_утес,3.54
кость_лодыжка,2.08
яблоко_сладость,1.54
помощница_служанка,6.00
глава_руководитель,8.62
лимон_чай,0.23
пчела_муравей,0.62
баскетбол_бейсбол,1.23
рис_боб,1.08
кровать_мебель,3.08
эмоция_страсть,3.85
анархия_хаос,7.54
преступление_нарушение,6.23
механизм_двигатель,5.08
пляж_море,3.46
дорожка_шар,0.00
банка_бутылка,3.23
сила_способность,2.38
зерно_горчица,1.38
гитара_барабан,0.85
мнение_идея,3.00
север_запад,0.46
диета_салат,2.85
мать_жена,2.00
отец_мать,1.54
капитан_моряк,3.92
метр_ярд,4.85
пиво_шампанское,1.62
мотор_лодка,0.31
карта_бридж,1.23
наука_психология,2.69
грешник_святой,0.15
разрушение_построение,0.23
толпа_группа,6.38
пляж_риф,1.38
мужчина_ребенок,0.23
хлеб_сыр,0.38
чемпион_победитель,9.38
праздник_церемония,6.85
меню_заказ,3.31
король_принцесса,0.85
богатство_репутация,1.31
выносливость_сила,4.38
опасность_угроза,9.69
Бог_священник,2.15
мужчины_братство,1.69
приятель_спутник,4.77
наставник_помощник,3.46
тело_желудок,0.92
язык_горло,1.38
дом_ковер,0.85
ум_навык,2.85
путешествие_завование,0.69
Бог_жертва,0.46
брат_человек,1.54
соперник_противник,9.08
смерть_бедствие,1.92
чудовище_демон,6.85
день_утро,0.77
человек_победитель,0.46
друг_парень,1.00
песня_история,1.77
луч_солнце,3.54
парень_бабник,2.31
курятина_рис,0.38
коробка_лифт,1.77
масло_картофель,0.77
квартира_мебель,1.69
озеро_болото,3.31
салат_уксус,1.31
цветок_луковица,2.31
облако_мгла,2.85
водитель_пилот,6.62
сахар_мед,2.69
тело_плечо,1.54
идея_образ,5.69
отец_брат,0.69
луна_планета,4.62
бал_костюм,1.92
ограда_забор,9.54
комната_кровать,1.15
цветок_куст,3.00
кость_колено,2.69
рука_колено,0.46
низ_бок,0.46
сосуд_вена,6.77
кот_кролик,0.46
мясо_бутерброд,2.08
верование_представление,4.62
ум_проницательность,6.15
внимание_интерес,7.08
настрой_уверенность,4.69
право_правосудие,4.92
спор_соглашение,1.31
глубина_величина,3.15
носитель_новость,1.00
победитель_кандидат,1.92
юбилей_дата,6.62
гонорар_платеж,8.00
Библия_псалом,5.54
выход_проход,4.54
человек_охранник,2.31
проход_коридор,8.54
виски_джин,5.69
кровь_мозг,1.23
масло_норка,0.62
пол_палуба,6.23
крыша_пол,0.23
дверь_пол,0.31
плечо_голова,0.54
платформа_вагон,2.62
автомобиль_карета,3.00
локоть_лодыжка,0.69
богатство_слава,3.23
печаль_стыд,2.00
руководство_управление,8.69
общение_беседа,8.85
загрязнение_атмосфера,1.92
анатомия_биология,4.38
колледж_профессия,2.62
книга_тема,2.00
формула_уравнение,7.00
книга_информация,5.31
мальчик_партнер,1.00
небо_вселенная,3.77
население_народ,8.62
колледж_класс,2.38
глава_мэр,7.08
раввин_священник,7.38
метр_дюйм,2.62
полиэстер_хлопок,1.92
юрист_банкир,1.15
скрипка_инструмент,4.46
лагерь_домик,1.92
кастрюля_прибор,2.00
лен_ткань,3.46
виски_шампанское,2.31
девочка_ребенок,4.69
коттедж_домик,7.38
птица_курица,5.46
грохот_шум,7.92
закат_вечер,5.46
морось_дождь,7.77
взрослый_младенец,0.31
рашкуль_уголь,1.38
тело_позвоночник,3.38
шляпка_гвоздь,0.85
бревно_древесина,6.54
ложка_чашка,1.54
тело_нерв,2.00
мужчина_муж,5.62
кость_шея,2.15
досада_злость,5.69
река_море,2.62
задача_работа,6.92
клуб_общество,6.69
отражение_образ,6.31
принц_король,5.08
снег_погода,3.08
электорат_партия,2.08
мальчик_брат,2.54
корень_трава,2.92
бровь_глаз,2.23
деньги_жемчуг,3.08
деньги_бриллиант,4.08
автотранспорт_автобус,8.31
таксомотор_автобус,5.15
дом_амбар,3.08
палец_ладонь,3.15
автомобиль_мост,1.15
усилие_трудность,4.38
факт_суть,6.77
работа_управление,4.46
рак_болезнь,7.54
известие_газета,5.23
композитор_писатель,4.54
актер_певец,5.62
убежище_хижина,7.15
ванная_кухня,2.08
домик_хижина,8.38
дверь_кухня,1.23
ценность_вера,2.23
мудрость_ум,8.23
невежество_ум,1.69
счастье_удача,7.77
идея_план,6.54
настроение_эмоция,7.38
счастье_умиротворенность,6.15
отчаяние_бедствование,5.92
логика_арифметика,4.38
отрицание_признание,1.31
спор_критика,3.92
агрессивность_враждебность,9.08
истерика_помрачение,4.77
химия_теория,2.62
разбирательство_вердикт,2.62
комфорт_безопасность,6.31
уверенность_самость,6.00
видение_восприятие,7.62
эпоха_десятилетие,4.31
биография_роман,2.92
дискуссия_спор,8.69
код_символ,6.08
опасность_болезнь,5.00
авария_бедствие,6.15
путешествие_поездка,8.31
действие_движение,7.08
сплетня_новость,4.85
отец_Бог,4.92
действие_курс,3.08
жар_болезнь,6.31
авиация_полет,6.77
игра_действие,4.62
молекула_воздух,3.77
дом_государство,2.69
слово_литература,3.31
взрослый_опекун,5.38
газета_информация,5.54
коммуникация_телевидение,6.62
кузен_дядя,4.77
писатель_читатель,1.92
парень_товарищ,4.77
область_угол,1.92
баллада_песня,6.38
стена_отделка,2.85
слово_страница,2.15
медбрат_ученый,2.00
политик_президент,7.46
президент_мэр,3.92
книга_эссе,3.77
мужчина_воин,5.92
статья_журнал,3.92
завтрак_ужин,2.00
толпа_парад,4.77
наставник_раввин,4.69
бедро_губа,0.77
книга_статья,3.92
комната_камера,5.08
кабинка_будка,7.54
дочь_ребенок,7.69
конечность_нога,7.85
печень_легкое,2.15
класс_коридор,1.46
гора_выступ,4.15
автомобиль_подъемник,2.08
кровать_кушетка,8.00
одежда_пуговица,2.46
одежда_пальто,7.54
почка_орган,7.69
яблоко_повидло,3.15
курятина_стейк,4.00
автомобиль_шланг,2.15
табак_сигарета,7.31
учащийся_преподаватель,1.69
младенец_дочь,4.69
трубка_сигара,5.31
молоко_сок,1.85
пачка_сигара,2.31
квартира_гостиница,3.23
стакан_рожок,5.08
конь_бык,1.31
горло_нос,2.92
кость_зубы,2.08
кость_локоть,1.54
бекон_боб,0.31
чашка_кувшин,3.15
доказательство_факт,6.62
назначение_обязательство,3.92
юбилей_год,2.69
слово_ключ,1.00
автор_создатель,9.23
атом_углерод,1.85
архиепископ_епископ,6.00
письмо_абзац,1.62
страница_абзац,2.00
шпиль_часовня,2.08
мускул_кость,0.62
мускул_язык,1.69
мальчик_солдат,1.23
брюшко_живот,7.77
парень_девушка,0.31
кровать_стул,1.23
одежда_пиджак,4.00
ружье_нож,1.23
олово_металл,4.85
бутылка_контейнер,2.31
курица_индейка,3.54
мясо_хлеб,1.31
рука_кость,1.62
шея_позвоночник,2.62
яблоко_лимон,1.31
мука_горе,2.77
задание_задача,8.85
ночь_рассвет,1.08
ужин_суп,2.69
теленок_бык,5.38
снег_шторм,2.15
ноготь_кисть,0.85
собака_лошадь,0.62
рука_шея,0.62
мяч_перчатка,1.00
грипп_жар,3.69
гонорар_зарплата,8.77
нерв_мозг,2.85
зверь_животное,8.38
ужин_курятина,1.15
девочка_дева,5.77
ребенок_мальчик,5.38
алкоголь_вино,6.46
нос_рот,1.23
улица_автомобиль,0.62
звонок_дверь,1.31
коробка_шляпа,0.69
мнение_впечатление,5.23
предубеждение_мнение,4.92
внимание_осведомленность,2.85
злость_настроение,3.62
элегантность_стиль,6.46
красота_возраст,2.85
подруга_мать,2.38
витамин_железо,2.69
автомобиль_завод,1.77
пакт_условие,3.46
глава_выбор,0.85
арифметика_ритм,0.23
победитель_присутствие,0.46
вера_цветок,0.23
победитель_гол,4.00
трюк_размер,0.23
выбор_вена,0.15
псалом_завоевание,0.31
износоустойчивость_повязка,0.85
тюрьма_выбор,0.62
состояние_мальчик,0.85
цветок_выносливость,0.46
прореха_соглашение,0.00
врач_самообладание,2.23
братство_дверь,0.08
задача_женщина,0.46
братство_бейсбол,0.69
цент_размер,0.69
присутствие_дверь,0.92
мышь_управление,3.85
задача_автострада,0.31
спиртное_век,0.00
задача_пустяк,0.46
остров_задача,0.15
ночь_глава,0.23
загрязнение_президент,0.31
ружье_шалость,0.38
ванна_шалость,0.38
диета_яблоко,2.38
цент_жена,0.23
глава_конец,1.00
курс_желудок,0.00
псалом_солома,0.00
дантист_полковник,0.31
жена_солома,0.15
дыра_жена,0.15
ученик_президент,0.38
ванна_жена,0.31
народ_цент,0.15
формула_журнал,0.08
женщина_мех,0.46
яблоко_солнце,0.15
ружье_рассвет,0.08
трапеза_талия,0.85
фотоаппарат_президент,0.15
спиртное_группа,0.23
желудок_вена,0.38
ружье_мех,0.54
кушетка_бейсбол,0.23
работник_фотоаппарат,0.62
палуба_мышь,0.15
рис_мальчик,0.08
народ_ружье,0.08
край_конец,7.54
лодыжка_окно,0.00
принцесса_остров,0.00
контейнер_мышь,0.15
платформа_контейнер,0.54
народ_шар,0.08
доллар_народ,0.23
ванна_шар,0.15
желудок_спальня,0.00
велосипед_спальня,0.00
бревно_ванна,0.00
миска_хвост,0.15
идти_приходить,6.46
брать_красть,2.69
слушать_слышать,7.00
думать_обосновывать,5.00
случаться_происходить,9.46
пропадать_исчезать,9.31
умножать_делить,0.46
просить_умолять,8.15
начинать_происходить,4.08
защищать_отстаивать,8.85
убивать_уничтожать,7.92
создавать_делать,8.31
принимать_отвергать,0.69
игнорировать_избегать,7.77
нести_приносить,6.62
покидать_входить,0.69
выбирать_избирать,8.54
проигрывать_проваливать,3.92
подбодрять_отговаривать,0.38
достигать_завершать,6.62
делать_строить,6.38
слушать_подчиняться,5.00
информировать_сообщать,9.46
получать_давать,0.08
занимать_нищенствовать,2.62
брать_получать,4.08
советовать_рекомендовать,9.46
имитировать_изображать,7.54
побеждать_преуспевать,5.85
думать_решать,6.08
приветствовать_встречать,7.15
соглашаться_спорить,0.15
наслаждаться_развлекаться,6.69
разрушать_создавать,0.00
сохранять_защищать,6.85
давать_одалживать,6.85
понимать_знать,6.77
принимать_признавать,7.08
решать_выбирать,6.77
принимать_верить,2.54
хранить_владеть,5.31
странствовать_бродить,8.15
преуспевать_проваливать,0.00
тратить_копить,0.00
покидать_идти,2.00
приходить_посещать,7.85
знать_верить,2.69
собираться_встречаться,7.08
добывать_зарабатывать,6.62
забывать_игнорировать,5.46
умножать_складывать,2.92
сжиматься_расти,0.00
прибывать_покидать,0.00
преуспевать_пытаться,1.77
прибывать_приходить,8.08
соответствовать_различаться,0.00
посылать_получать,0.15
выигрывать_доминировать,7.38
складывать_делить,0.15
убивать_душить,7.08
приобретать_получать,8.08
участвовать_присоединяться,6.46
покидать_оставаться,0.08
идти_входить,4.15
брать_нести,1.00
забывать_узнавать,0.00
назначать_избирать,2.85
обручаться_жениться,6.77
просить_молиться,5.46
идти_посылать,1.08
брать_доставлять,1.15
говорить_слышать,0.08
анализировать_оценивать,7.92
аргументировать_обосновывать,8.77
терять_сохранять,0.00
сравнивать_анализировать,5.38
разрушать_организовывать,0.00
идти_позволять,0.08
брать_завладевать,6.85
узнавать_слушать,1.62
разрушать_строить,0.00
создавать_строить,6.92
воровать_покупать,0.00
убивать_вешать,3.00
забывать_знать,0.00
создавать_представлять,0.15
действовать_происходить,4.00
побеждать_завершать,0.46
соглашаться_отказывать,0.00
заслуживать_зарабатывать,4.46
получать_назначать,0.23
обнаруживать_находить,8.85
появляться_посещать,4.77
знать_понимать,3.46
притворяться_воображать,1.77
удовлетворять_угождать,6.77
лелеять_хранить,3.77
спорить_различаться,1.46
побеждать_доминировать,5.23
слушаться_подчиняться,6.85
сотрудничать_участвовать,3.69
достигать_пытаться,1.85
проваливать_обескураживать,0.69
начинать_прекращать,0.00
высказываться_участвовать,1.85
приходить_приносить,0.23
провозглашать_объявлять,7.23
читать_понимать,0.31
забирать_оставлять,0.08
объявлять_провозглашать,8.46
завершать_решать,1.38
угождать_умолять,0.77
аргументировать_подтверждать,5.46
находить_исчезать,0.00
осматривать_изучать,5.31
подтверждать_обосновывать,5.38
предполагать_предсказывать,6.62
изучать_оценивать,3.15
делать_становиться,3.54
открывать_происходить,2.54
достигать_преуспевать,7.38
давать_вкладывать,5.46
понимать_слушать,4.38
расширяться_расти,8.08
занимать_продавать,1.62
хранить_защищать,6.15
объяснять_доказывать,8.23
симулировать_притворяться,9.23
ладить_угождать,4.85
прощать_забывать,5.54
прояснять_объяснять,8.31
понимать_прощать,5.69
напоминать_забывать,2.77
достигать_оставаться,3.08
осознавать_обнаруживать,5.15
требовать_запрашивать,6.15
игнорировать_обращаться,1.54
думать_спрашивать,3.31
отвергать_избегать,5.85
спорить_убеждать,7.31
добиваться_убеждать,5.23
принимать_прощать,5.08
делать_прекращать,2.38
исследовать_изучать,8.69
обсуждать_объяснять,5.77
задолжать_одалживать,5.08
изучать_обнаруживать,6.00
жаловаться_ругаться,3.54
отодвигать_отвергать,4.46
держать_занимать,3.31
умолять_просить,8.08
устраивать_организовывать,7.62
уменьшаться_сжиматься,8.46
говорить_признавать,4.23
давать_занимать,6.31
убивать_защищать,1.54
исчезать_сжиматься,3.92
родить_носить,3.69
дышать_задыхаться,2.62
признавать_уведомлять,3.54
становиться_казаться,4.77
приворяться_казаться,4.92
завершать_становиться,3.92
размышлять_думать,9.15
определять_предсказывать,5.31
угождать_развлекать,5.46
оставаться_сохранять,3.08
притворяться_изображать,6.00
забывать_помнить,0.08
хотеть_выбирать,1.15
терять_получать,0.08
пытаться_думать,0.38
покидать_игнорировать,1.23
принимать_рекомендовать,0.46
покидать_странствовать,1.85
держать_давать,0.31
позволять_разрешать,9.38
приносить_посылать,0.62
поглощать_учиться,1.23
приобретать_находить,5.15
покидать_появляться,0.15
создавать_разрушать,0.00
начинать_идти,0.46
приобретать_покупать,8.46
коллекционировать_сохранять,5.62
заменять_восстанавливать,2.38
соединять_добавлять,4.62
объединяться_жениться,4.31
принимать_доставлять,0.08
вкладывать_соединять,1.92
класть_вешать,1.00
продаваться_продавать,4.23
общаться_молиться,2.38
давать_красть,0.00
добавлять_строить,0.77
приносить_восстанавливать,0.23
понимать_удовлетворять,1.77
представлять_решать,0.38
организовывать_становиться,1.38
давать_знать,0.46
говорить_подтверждать,2.92
сотрудничать_объединяться,6.38
устраивать_нуждаться,0.23
занимать_хотеть,0.38
изучать_заниматься,3.46
игнорировать_исследовать,0.08
приносить_жаловаться,0.08
входить_задолжать,0.08
изображать_уведомлять,0.54
напоминать_продавать,0.15
поглощать_иметь,1.92
объединяться_приобретать,2.00
посылать_посещать,0.00
собираться_посещать,0.62
поглощать_отделяться,0.23
посещать_прибывать,5.46
